1163.HK,虎視傳媒
1164.HK,中廣核礦業
1167.HK,加科思－Ｂ
1168.HK,百仕達控股
1171.HK,兗州煤業股份
1176.HK,珠光控股
1177.HK,中國生物製藥
1179.HK,華住集團－Ｓ
1180.HK,匯彩控股
1181.HK,唐宮中國
1183.HK,澳能建設
1184.HK,S.A.S. DRAGON
1186.HK,中國鐵建
1193.HK,華潤燃氣
1196.HK,偉祿集團
1198.HK,皇朝家居
1199.HK,中遠海運港口
1205.HK,中信資源
1208.HK,五礦資源
1209.HK,華潤萬象生活
1211.HK,比亞迪股份
1212.HK,利福國際
1216.HK,中原銀行
1221.HK,SINO HOTELS
1222.HK,WANG ON GROUP
1223.HK,新灃集團
1224.HK,中渝置地
1230.HK,雅士利國際
1231.HK,新礦資源
1232.HK,金輪天地控股
1233.HK,時代中國控股
1234.HK,中國利郎
1238.HK,寶龍地產
1240.HK,青建國際
1243.HK,宏安地產
1249.HK,通力電子
1250.HK,北控清潔能源集團
1252.HK,中國天瑞水泥
1253.HK,中國綠地博大綠澤
1257.HK,中國光大綠色環保
1258.HK,中國有色礦業
1260.HK,皓天財經集團
1263.HK,柏能集團
1266.HK,西王特鋼
1268.HK,美東汽車
1270.HK,朗廷—ＳＳ
1271.HK,佳明集團控股
1277.HK,力量能源
1278.HK,中國新城鎮
1282.HK,寶新金融
1283.HK,高陞集團控股
1285.HK,嘉士利集團
1286.HK,鷹普精密
1288.HK,農業銀行
1290.HK,中國匯融
1293.HK,廣匯寶信
1297.HK,中國擎天軟件
1299.HK,友邦保險
1300.HK,俊知集團
1301.HK,德基科技控股
1302.HK,先健科技
1308.HK,海豐國際
1310.HK,香港寬頻
1313.HK,華潤水泥控股
1316.HK,耐世特
1317.HK,楓葉教育
1321.HK,中國新城市
1323.HK,華盛國際控股
1328.HK,金涌投資
1329.HK,首創鉅大
1330.HK,綠色動力環保
1332.HK,中國透雲
1333.HK,中國忠旺
1336.HK,新華保險
1337.HK,雷蛇
1339.HK,中國人民保險集團
1341.HK,昊天國際建投
1345.HK,中國先鋒醫藥
1347.HK,華虹半導體
1349.HK,復旦張江
1357.HK,美圖公司
1358.HK,普華和順
1359.HK,中國信達
1361.HK,３６１度
1366.HK,江南集團
1368.HK,特步國際
1370.HK,奧威控股
1373.HK,國際家居零售
1375.HK,中州證券
1378.HK,中國宏橋
1381.HK,粵豐環保
1382.HK,互太紡織
1383.HK,太陽城集團
1385.HK,上海復旦
1387.HK,中國地利
1396.HK,粵港灣控股
1398.HK,工商銀行
1401.HK,SPROCOMM INTEL
1408.HK,濠江機電
1415.HK,高偉電子
1417.HK,浦江中國
1427.HK,中國天保集團
1428.HK,耀才證券金融
1429.HK,天任集團
1430.HK,蘇創燃氣
1431.HK,原生態牧業
1432.HK,中國聖牧
1442.HK,INFINITY L&T
1448.HK,福壽園
1449.HK,立德教育
1456.HK,國聯證券
1458.HK,周黑鴨
1463.HK,C-LINK SQ
1468.HK,京基金融國際
1469.HK,結好金融
1475.HK,日清食品
1476.HK,恒投證券
1477.HK,歐康維視生物－Ｂ
1478.HK,丘鈦科技
1483.HK,譽宴集團
1488.HK,百福控股
1492.HK,中地乳業
1499.HK,歐科雲鏈
1501.HK,康德萊醫械
1502.HK,金融街物業
1508.HK,中國再保險
1509.HK,和美醫療
1513.HK,麗珠醫藥
1515.HK,華潤醫療
1516.HK,融創服務
1521.HK,方達控股
1522.HK,京投交通科技
1523.HK,珩灣科技
1525.HK,建橋教育
1526.HK,瑞慈醫療
1528.HK,紅星美凱龍
1530.HK,三生製藥
1538.HK,中奧到家
1543.HK,中盈盛達融資擔保
1548.HK,金斯瑞生物科技
1551.HK,廣州農商銀行
1558.HK,東陽光藥
1561.HK,聯洋智能控股
1563.HK,友聯租賃
1565.HK,成實外教育
1566.HK,華夏文化科技
1568.HK,承達集團
1569.HK,民生教育
1570.HK,偉業控股
1571.HK,信邦控股
1576.HK,齊魯高速
1578.HK,天津銀行
1579.HK,頤海國際
1583.HK,親親食品
1585.HK,雅迪控股
1588.HK,暢捷通
1589.HK,中國物流資產
1593.HK,辰林教育
1596.HK,翼辰實業
1598.HK,２１世紀教育
1599.HK,城建設計
1600.HK,天倫燃氣
1606.HK,國銀租賃
1608.HK,偉能集團
1609.HK,創建集團控股
1610.HK,中糧肉食
1611.HK,火幣科技
1612.HK,永勝醫療
1617.HK,南方通信
1618.HK,中國中冶
1622.HK,力高集團
1627.HK,安保工程控股
1628.HK,禹洲集團
1629.HK,冠均國際控股
1635.HK,大眾公用
1638.HK,佳兆業集團
1639.HK,安捷利實業
1651.HK,津上機床中國
1652.HK,福森藥業
1656.HK,億仕登控股
1658.HK,郵儲銀行
1660.HK,兆邦基地產
1662.HK,義合控股
1665.HK,檳傑科達
1666.HK,同仁堂科技
1668.HK,華南城
1672.HK,歌禮製藥－Ｂ
1673.HK,華章科技
1675.HK,亞信科技
1679.HK,瑞斯康集團
1680.HK,澳門勵駿
1681.HK,康臣葯業
1686.HK,新意網集團
1689.HK,華禧控股
1691.HK,ＪＳ環球生活
1696.HK,復銳醫療科技
1697.HK,山東國信
1702.HK,東光化工
1709.HK,德林控股
1717.HK,澳優
1719.HK,中國通商集團
1720.HK,普天通信集團
1723.HK,港亞控股
1727.HK,河北建設
1728.HK,正通汽車
1733.HK,易大宗
1735.HK,中環控股
1738.HK,飛尚無煙煤
1739.HK,齊屹科技
1741.HK,日贏控股
1743.HK,蒼南儀錶
1745.HK,LVJI TECH
1748.HK,信源企業集團
1752.HK,澳洲成峰高教
1753.HK,兌吧
1755.HK,新城悅服務
1756.HK,華立大學集團
1760.HK,英恒科技
1761.HK,寶寶樹集團
1762.HK,萬咖壹聯
1763.HK,中國同輻
1765.HK,希望教育
1766.HK,中國中車
1769.HK,思考樂教育
1772.HK,贛鋒鋰業
1773.HK,天立教育
1776.HK,廣發証券
1777.HK,花樣年控股
1778.HK,彩生活
1785.HK,成都高速
1787.HK,山東黃金
1788.HK,國泰君安國際
1789.HK,愛康醫療
1797.HK,新東方在?
1798.HK,大唐新能源
1799.HK,新特能源
1800.HK,中國交通建設
1801.HK,信達生物
1806.HK,匯付天下
1809.HK,浦林成山
1810.HK,小米集團－Ｗ
1811.HK,中廣核新能源
1812.HK,晨鳴紙業
1813.HK,合景泰富集團
1815.HK,金貓銀貓
1816.HK,中廣核電力
1817.HK,慕尚集團控股
1818.HK,招金礦業
1820.HK,濟豐包裝
1821.HK,ESR
1829.HK,中國機械工程
1830.HK,必瘦站
1833.HK,平安好醫生
1836.HK,九興控股
1837.HK,五谷磨房
1838.HK,CHINAPROPERTIES
1839.HK,中集車輛
1845.HK,維港環保科技
1846.HK,德視佳
1848.HK,中國飛機租賃
1851.HK,銀杏教育
1856.HK,依波路
1857.HK,中國光大水務
1858.HK,春立醫療
1859.HK,煜盛文化
1860.HK,匯量科技
1862.HK,景瑞控股
1865.HK,管道工程
1866.HK,中國心連心化肥
1868.HK,同方友友
1873.HK,維亞生物
1875.HK,東曜藥業—Ｂ
1876.HK,百威亞太
1877.HK,君實生物
1882.HK,海天國際
1883.HK,中信國際電訊
1885.HK,中國優材
1888.HK,建滔積層板
1890.HK,中國科培
1895.HK,鑫苑服務
1896.HK,貓眼娛樂
1898.HK,中煤能源
1899.HK,興達國際
1902.HK,銀城國際控股
1905.HK,海通恆信
1907.HK,中國旭陽集團
1908.HK,建發國際集團
1909.HK,火岩控股
1910.HK,新秀麗
1911.HK,華興資本控股
1913.HK,普拉達
1916.HK,江西銀行
1918.HK,融創中國
1919.HK,中遠海控
1921.HK,達力普控股
1922.HK,銀城生活服務
1928.HK,金沙中國有限公司
1929.HK,周大福
1931.HK,華檢醫療
1935.HK,嘉宏教育
1951.HK,錦欣生殖
1952.HK,雲頂新耀－Ｂ
1958.HK,北京汽車
1962.HK,訓修實業
1963.HK,重慶銀行
1966.HK,中駿集團控股
1967.HK,信懇智能
1969.HK,中國春來
1970.HK,IMAX CHINA
1971.HK,弘陽服務
1972.HK,太古地產
1977.HK,安樂工程
1979.HK,天寶集團
1980.HK,天鴿互動
1981.HK,華夏視聽教育
1982.HK,南旋控股
1983.HK,瀘州銀行
1986.HK,彩客化學
1987.HK,BENG SOON MACH
1988.HK,民生銀行
1989.HK,松齡護老集團
1992.HK,復星旅遊文化
1993.HK,雅仕維
1995.HK,永升生活服務
1996.HK,弘陽地產
1997.HK,九龍倉置業
1999.HK,敏華控股
2000.HK,晨訊科技
2001.HK,新高教集團
2002.HK,陽光紙業
2003.HK,維信金科
2005.HK,石四藥集團
2006.HK,錦江資本
